frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
165,8.0,[1019.7808003443417 1218.8422077420992 1567.794482051119 1691.4709346160685],[1210.7581787109375 1501.2740478515625 1379.2979736328125 1582.297119140625],0.49481168389320374,KH05ZZK,0.44018673919222945
166,1.0,[2066.1314663879734 1343.237197069946 2684.2786262235327 1881.6473597175286],[2283.1162109375 1678.8665771484375 2468.64306640625 1753.3304443359375],0.34318220615386963,AP05JEO,0.27781027060093494
167,1.0,[2063.0580968970235 1349.3617449005835 2684.466174754135 1889.0980446763303],[2300.96044921875 1678.34326171875 2522.523193359375 1760.8974609375],0.3347225487232208,AP05JEO,0.3991800891418837
170,1.0,[2079.935158696968 1360.4582700956105 2697.16411699109 1901.2683044781609],[2285.06201171875 1699.09619140625 2504.099609375 1786.371337890625],0.5127916932106018,AP05JEO,0.23799269916350735
170,8.0,[1008.2631497785325 1242.2297673096823 1563.3372571878717 1718.5613304237986],[1194.6668701171875 1516.4476318359375 1371.066650390625 1607.4254150390625],0.46972760558128357,AN05ZZR,0.40769179244255344
172,1.0,[2076.483323654731 1373.5977187225103 2698.4631500570567 1915.6068214016477],[2294.87890625 1706.649658203125 2533.876953125 1801.813720703125],0.5689781308174133,AP05JEO,0.3849277631982701
173,8.0,[1002.9548131193966 1255.255920444734 1561.2548720377476 1728.8817208654393],[1188.489990234375 1532.258544921875 1366.80615234375 1622.203369140625],0.559019923210144,KN05ZZK,0.4433453810765369
173,1.0,[2080.86188535564 1379.092356949834 2703.9490392445596 1923.1140475694365],[2300.154296875 1718.08935546875 2529.587890625 1808.093505859375],0.5007414817810059,AP05JEO,0.11601741718743962
174,1.0,[2085.503665233745 1385.9881317457957 2708.2272169481193 1930.7468438070437],[2296.24462890625 1729.083251953125 2536.393798828125 1810.6204833984375],0.45228004455566406,AF05JED,0.21951226200602691
175,1.0,[2083.619073421206 1392.8186179744962 2708.34766347209 1937.902279626543],[2311.27099609375 1726.1099853515625 2532.7158203125 1818.4156494140625],0.3700588643550873,AP05JEO,0.3872436197719657
176,8.0,[999.9651507682439 1273.314505924296 1559.6771754147276 1745.906172525988],[1185.19140625 1549.4482421875 1368.638427734375 1636.725830078125],0.5774213671684265,KN05ZZK,0.2959078541320556
176,1.0,[2077.5144154045483 1399.1687103984 2706.9735818856143 1945.3030582022511],[2283.2568359375 1735.109619140625 2491.30029296875 1818.1248779296875],0.5558626055717468,AP05JEO,0.19426226535268015
177,8.0,[997.53547682201 1276.9433348562393 1557.2298881399456 1750.0943855485198],[1180.390380859375 1559.782470703125 1363.2066650390625 1650.50537109375],0.5490482449531555,KH05ZZK,0.3028203489055546
177,1.0,[2085.077895212329 1406.681259572283 2714.9981832155026 1954.0365657645045],[2292.13232421875 1742.42919921875 2517.30810546875 1839.4169921875],0.5202094912528992,AP05JEO,0.5008902734200177
178,8.0,[997.2309851273401 1279.3366466165896 1556.4657768083996 1754.0624897486098],[1178.864501953125 1559.5374755859375 1364.5234375 1651.5208740234375],0.5822936296463013,KH05ZIK,0.496566232766122
